event,sentence
"('Parsons,Chandler', 'fg3', '3')","Ellis' STAT put the Mavericks up 130 129, and PLAYER_FIRST PLAYER_LAST added two foul shots."
"('Nowitzki,Dirk', 'pts', '22')",PLAYER_FIRST PLAYER_LAST added STAT despite shooting just 8 for STAT as Dallas won its fourth in row.
"('Nowitzki,Dirk', 'fg', '8')",PLAYER_FIRST PLAYER_LAST added 22 despite shooting just STAT for 22 as Dallas won its fourth in row.
"('Nowitzki,Dirk', 'pts', '22')",PLAYER_FIRST PLAYER_LAST added STAT despite shooting just 8 for STAT as Dallas won its fourth in row.
"('Lamb,Jeremy', 'pts', '15')",TIP INS Thunder: PLAYER_LAST scored STAT points.
"('Holiday,Jrue', 'ast', '10')",PLAYER_FIRST PLAYER_LAST had STAT assists while Ryan Anderson had 11 rebounds.
"('Anderson,Ryan', 'pts', '23')",Jrue Holiday had STAT points and _STAT_ assists while PLAYER_FIRST PLAYER_LAST had STAT points and 11 rebounds.
"('Anderson,Ryan', 'pts', '23')",Jrue Holiday had STAT points and _STAT_ assists while PLAYER_FIRST PLAYER_LAST had STAT points and 11 rebounds.
"('Anderson,Ryan', 'trb', '11')",Jrue Holiday had _STAT_ assists while PLAYER_FIRST PLAYER_LAST had STAT rebounds.
"('Babbitt,Luke', 'pts', '6')", PLAYER_LAST had STAT points on two 3 pointers.
"('Babbitt,Luke', 'fg', '2')", PLAYER_LAST had six on STAT 3 pointers.
"('Babbitt,Luke', 'fg3', '2')", PLAYER_LAST had six on STAT 3 pointers.
"('Aldridge,LaMarcus', 'pts', '39')",It was the fifth time that PLAYER_LAST had scored STAT or more points.
"('Aldridge,LaMarcus', 'trb', '11')",PLAYER_LAST also had STAT rebounds for his fifth double double in six games.
"('Gallinari,Danilo', 'fg', '3')","PLAYER_LAST went through STAT surgeries and missed nearly 18 months after blowing out his left knee on April 4, 2013."
"('POR', 'pts', '105')"," seconds left, helping the Portland Trail Blazers rally for a 105 103 win over the Denver Nuggets on Tuesday night."
"('DEN', 'fg3', '7')"," The 7 foot 2 center blocked 1,486 shots while with the Nuggets."
"('POR', 'fg3', '5')",TIP INS Trail Blazers: Portland is 5 0 against Northwest Division opponents this season.
"('Lillard,Damian', 'pts', '17')","PLAYER_LAST scored STAT points, and Wesley Matthews added 15."
"('Chandler,Wilson', 'pts', '18')",PLAYER_FIRST PLAYER_LAST had STAT points and 10 rebounds.
"('Chandler,Wilson', 'trb', '10')",PLAYER_FIRST PLAYER_LAST had STAT rebounds.
"('Lawson,Ty', 'pts', '24')",PLAYER_FIRST PLAYER_LAST led Denver with STAT points and _STAT_ assists on the second night of a back to back.
"('Lawson,Ty', 'ast', '13')",PLAYER_FIRST PLAYER_LAST led Denver with STAT assists on the second night of a back to back.
"('Batum,Nicolas', 'ast', '13')",PLAYER_FIRST PLAYER_LAST had STAT assists.
"('DEN', 'pts', '103')"," seconds left, helping the Portland Trail Blazers rally for a 105 103 win over the Denver Nuggets on Tuesday night."
"('Gallinari,Danilo', 'fg', '3')",But PLAYER_FIRST Gallinari's STAT pointer at the buzzer was well short as the Blazers won their seventh straight over Denver.
"('Green,Gerald', 'pts', '15')"," PLAYER_FIRST PLAYER_LAST and Markieff Morris added STAT points apiece for the Suns, who broke open the game in the final seven minutes."
"('Dragic,Goran', 'fg3', '5')","PLAYER_LAST made STAT of six 3 pointers, Bledsoe had seven assists."
"('Dragic,Goran', 'ast', '3')","PLAYER_LAST made five of six STAT pointers, Bledsoe had seven assists."
"('IND', 'pts', '99')","Dragic scored 34 points, Bledsoe had 27 and the Suns beat Indiana 116 99 on Tuesday night for their fourth straight victory over the Pacers."
"('Bledsoe,Eric', 'pts', '27')","Dragic scored 34 points, PLAYER_LAST had STAT and the Suns beat Indiana 116 99 on Tuesday night for their fourth straight victory over the Pacers."
"('Hibbert,Roy', 'pts', '15')"," Miles scored 17 for Indiana, and PLAYER_FIRST PLAYER_LAST had STAT points and 10 rebounds."
"('Hibbert,Roy', 'trb', '10')"," Miles scored 17 for Indiana, and PLAYER_FIRST PLAYER_LAST had STAT rebounds."
"('Morris,Marcus', 'pts', '7')"," Gerald Green and Markieff PLAYER_LAST added _STAT_ points apiece for the Suns, who broke open the game in the final STAT minutes."
"('Morris,Markieff', 'pts', '15')"," Gerald Green and PLAYER_FIRST PLAYER_LAST added STAT points apiece for the Suns, who broke open the game in the final seven minutes."
"('Miles,C.J.', 'pts', '17')"," PLAYER_LAST scored STAT for Indiana, and Roy Hibbert had _STAT_ points and 10 rebounds."
"('PHO', 'pts', '116')","Dragic scored 34 points, Bledsoe had 27 and the Suns beat Indiana 116 99 on Tuesday night for their fourth straight victory over the Pacers."
"('Dragic,Goran', 'pts', '34')","PLAYER_LAST scored STAT points, Bledsoe had 27 and the Suns beat Indiana 116 99 on Tuesday night for their fourth straight victory over the Pacers."
"('Bledsoe,Eric', 'ast', '7')","Dragic made five of six 3 pointers, PLAYER_LAST had STAT assists."
"('Johnson,Amir', 'trb', '7')",Terrence Ross matched his season high with reserve James PLAYER_LAST added STAT rebounds.
"('Lowry,Kyle', 'fg3', '1')","At STAT point Toronto had 19 assists, all of them from PLAYER_LAST and Vasquez."
"('Ross,Terrence', 'fg', '8')",PLAYER_LAST made six of his first STAT shots and had _STAT_ in the first quarter to help Toronto go up 31 22.
"('Gay,Rudy', 'pts', '20')", PLAYER_FIRST PLAYER_LAST had STAT points and a career high _STAT_ assists for Sacramento.
"('Gay,Rudy', 'ast', '10')", PLAYER_FIRST PLAYER_LAST had a career high STAT assists for Sacramento.
"('Lowry,Kyle', 'ast', '13')"," Lowry, who added STAT assists, went 10 of 21 while Johnson shot 9 of 13."
"('Lowry,Kyle', 'fg', '10')"," Lowry, who added 13 assists, went STAT of 21 while Johnson shot 9 of 13."
"('Johnson,James', 'fg', '9')"," Lowry, who added 13 assists, went 10 of 21 while PLAYER_LAST shot STAT of 13."
"('Johnson,James', 'pts', '19')",Terrence Ross matched his season high with _STAT_ points and reserve PLAYER_FIRST PLAYER_LAST added STAT points and seven rebounds.
"('Johnson,James', 'trb', '7')",Terrence Ross matched his season high with reserve PLAYER_FIRST PLAYER_LAST added STAT rebounds.
"('Johnson,James', 'fg3', '1')",HAPPY RETURNS PLAYER_LAST spent STAT season with Sacramento in 2012 13 when he battled weight problems and averaged just 5.1 a game.
"('Ross,Terrence', 'pts', '20')",PLAYER_FIRST PLAYER_LAST matched his season high with STAT points and reserve James Johnson added _STAT_ points and seven rebounds.
"('TOR', 'ast', '22')",The Raptors finished with 22 assists.
"('Curry,Stephen', 'fg3', '3')",PLAYER_LAST (sprained left ankle) and Thompson (bruised right quadriceps) were questionable before the game and took more than STAT quarters to find a rhythm.
"('GSW', 'fg3', '8')",Golden State ended 8 for 27 from deep.
"('GSW', 'blk', '5')","""That's what the good teams do,"" said Warriors center Andrew Bogut, who had 12 rebounds, seven five blocks."
"('GSW', 'pts', '98')"," seconds remaining, sending the Warriors to a thrilling 98 97 win over the Orlando Magic on Tuesday night for their 10th straight win."
"('ORL', 'pts', '97')"," seconds remaining, sending the Warriors to a thrilling 98 97 win over the Orlando Magic on Tuesday night for their 10th straight win."
"('Oladipo,Victor', 'pts', '27')","PLAYER_FIRST PLAYER_LAST scored STAT points, and O'Quinn had _STAT_ points and _STAT_ rebounds in a stunning collapse for the young Magic."
"('Bogut,Andrew', 'trb', '12')","""That's what the good teams do,"" said Warriors center PLAYER_FIRST Bogut, who had STAT rebounds, seven five blocks."
"('Bogut,Andrew', 'pts', '7')","""That's what the good teams do,"" said Warriors center PLAYER_FIRST Bogut, who had 12 rebounds, STAT points and five blocks."
"('Bogut,Andrew', 'blk', '5')","""That's what the good teams do,"" said Warriors center PLAYER_FIRST Bogut, who had 12 rebounds, seven STAT blocks."
"('Oladipo,Victor', 'fg3', '3')",Oladipo's STAT pointer put the Magic up 93 84 with 4:11 left.
"('Hinrich,Kirk', 'fg3', '3')",Hinrich's two STAT pointers sealed the win.
"('Mirotic,Nikola', 'pts', '11')"," Noah had _STAT_ points and 10 rebounds, and PLAYER_LAST added STAT points and 12 rebounds."
"('Mirotic,Nikola', 'trb', '12')"," Noah had 10 rebounds, and PLAYER_LAST added STAT rebounds."
"('CHO', 'fg3', '2')",The Hornets made 2 of 15.
"('Walker,Kemba', 'pts', '23')","PLAYER_FIRST PLAYER_LAST had STAT points to lead the Hornets (4 15), who have lost 12 of 13."
"('CHI', 'fg3', '12')",The Bulls were 12 of 28 from beyond the 3 point arc.
"('Noah,Joakim', 'pts', '14')"," PLAYER_LAST had STAT points and 10 rebounds, and Mirotic added _STAT_ points and 12 rebounds."
"('Noah,Joakim', 'trb', '10')"," PLAYER_LAST had STAT rebounds, and Mirotic added 12 rebounds."
"('Pierce,Paul', 'pts', '14')",PLAYER_LAST had STAT points before leaving with a jammed left big toe late in the third.
"('Bryant,Kobe', 'fg3', '2')","TWO MORE YEARS Lakers: Coach Byron Scott hopes that he can convince PLAYER_LAST to consider playing beyond next season, the last on his current contract."
"('Humphries,Kris', 'trb', '20')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, three short of his career high, as the Wizards outscored the Lakers 56 STAT in the paint."
"('Humphries,Kris', 'fg', '3')","PLAYER_FIRST PLAYER_LAST had 20 rebounds, STAT short of his career high, as the Wizards outscored the Lakers 56 20 in the paint."
"('Humphries,Kris', 'trb', '20')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, three short of his career high, as the Wizards outscored the Lakers 56 STAT in the paint."
"('Young,Nick', 'pts', '21')",Former Wizards player PLAYER_FIRST PLAYER_LAST helped keep the score relatively close by scoring a season high STAT points.
"('Beal,Bradley', 'pts', '27')",PLAYER_LAST had STAT points as Washington used Paul Pierce on Bryant in the third quarter.
"('Bryant,Kobe', 'pts', '29')",PLAYER_LAST finished with STAT points.
"('Wall,John', 'fg3', '1')",Wall's _STAT_ assists were a season high and STAT off his career high.
"('LAL', 'fg3', '12')",Los Angeles had a season high 12 3 pointers Wizards: F Nene missed his fifth straight game with plantar fasciitis in his right foot.
"('Augustin,D.J.', 'fg', '0')",PLAYER_LAST was STAT for 6.
"('Augustin,D.J.', 'fg3', '0')",PLAYER_LAST was STAT for 6.
"('Monroe,Greg', 'pts', '29')","PLAYER_FIRST PLAYER_LAST scored 15 of his STAT points after the 3:13 mark of the fourth, when the Pistons rallied from an 84 83 deficit."
"('Bass,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST Jennings had _STAT_ assists and one point on STAT for 11 shooting.
"('Bass,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST Jennings had _STAT_ assists and one point on STAT for 11 shooting.
"('Bass,Brandon', 'ast', '1')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST Jennings had _STAT_ assists and STAT point on 0 for 11 shooting.
"('Bass,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST Jennings had _STAT_ assists and one point on STAT for 11 shooting.
"('Bass,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST Jennings had _STAT_ assists and one point on STAT for 11 shooting.
"('Drummond,Andre', 'pts', '27')","PLAYER_FIRST PLAYER_LAST had STAT points, 14 rebounds, four steals and five blocked shots, including Green's potential game winner at the end of regulation, for Detroit."
"('Drummond,Andre', 'trb', '14')","PLAYER_FIRST PLAYER_LAST had 27 STAT rebounds, four steals and five blocked shots, including Green's potential game winner at the end of regulation, for Detroit."
"('Drummond,Andre', 'stl', '4')","PLAYER_FIRST PLAYER_LAST had 27 14 rebounds, STAT steals and five blocked shots, including Green's potential game winner at the end of regulation, for Detroit."
"('Jennings,Brandon', 'fg', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'fg', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'ast', '12')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had STAT assists and one point on 0 for 11 shooting.
"('Jennings,Brandon', 'pts', '1')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and STAT point on 0 for 11 shooting.
"('Jennings,Brandon', 'fg', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'fg', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Jennings,Brandon', 'fg3', '0')", WHAT'S THE POINT Pistons point guard PLAYER_FIRST PLAYER_LAST had _STAT_ assists and one point on STAT for 11 shooting.
"('Green,Jeff', 'trb', '5')","Andre Drummond had 27 14 rebounds, four steals and STAT blocked shots, including Green's potential game winner at the end of regulation, for Detroit."
"('Butler,Caron', 'fg', '3')",It was 88 85 when PLAYER_FIRST PLAYER_LAST sank a wide open STAT pointer from the left wing to tie it.
"('Green,Jeff', 'fg3', '6')",The Celtics had a chance to win in regulation when PLAYER_LAST drove and attempted a floater from about STAT feet that Drummond swatted away.
"('Leonard,Kawhi', 'fg', '4')","PLAYER_FIRST PLAYER_LAST was STAT of 16, and Boris Diaw missed all six shots."
"('BRK', 'fg3', '9')","The Spurs feature a league high nine players, while Brooklyn is tied with Minnesota for second with six."
"('Duncan,Tim', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points and 17 rebounds, but shot 5 for 18."
"('Duncan,Tim', 'trb', '17')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, but shot 5 for 18."
"('Duncan,Tim', 'fg', '5')","PLAYER_FIRST PLAYER_LAST had 17 rebounds, but shot STAT for 18."
"('Parker,Tony', 'fg3', '1')","San Antonio managed just STAT basket, a 3 pointer from Parker, for about 8 1/2 minutes to start the half."
"('Schroder,Dennis', 'pts', '16')"," PLAYER_FIRST PLAYER_LAST scored STAT and Paul Millsap finished with 14 for the Hawks, who are 2 0 against the Heat this season."
"('Schroder,Dennis', 'fg3', '2')"," PLAYER_FIRST PLAYER_LAST scored 16 and Paul Millsap finished with 14 for the Hawks, who are STAT 0 against the Heat this season."
"('Millsap,Paul', 'pts', '14')"," Dennis Schroder scored 16 and PLAYER_FIRST PLAYER_LAST finished with STAT for the Hawks, who are 2 0 against the Heat this season."
"('MIA', 'orb', '4')","It was the second lowest total of the season for Miami, which is 4 0 when grabbing more than 40 boards, 5 9 otherwise."
"('ATL', 'trb', '30')",REBOUND WOES The _STAT_ rebounds were a season low for Atlanta.
"('Harden,James', 'pts', '21')"," PLAYER_FIRST PLAYER_LAST scored STAT points, and Trevor Ariza and Jason Terry added 16 each to help the short handed Rockets cruise to victory."
"('HOU', 'pts', '105')","On Wednesday night, Black got plenty of cheers in helping the Rockets to a 105 96 win over the Grizzlies."
"('MEM', 'fg3', '2')","The Grizzlies (15 3) had won five in a row, and their two previous losses this season had been by a combined five points."
"('MEM', 'tov', '20')","Mike Conley had six assists for Memphis, but also had five of the team's 20 turnovers."
"('Lee,Courtney', 'pts', '4')",Former Rockets player PLAYER_FIRST PLAYER_LAST scored a season low STAT points.
"('Ariza,Trevor', 'pts', '16')"," James Harden scored 21 points, and PLAYER_FIRST PLAYER_LAST and Jason Terry added STAT each to help the short handed Rockets cruise to victory."
"('MEM', 'fg3', '2')","It was the start of an 8 2 run by Memphis, powered by six from Conley, to cut the lead to 70 54."
"('Terry,Jason', 'pts', '16')"," James Harden scored 21 points, and Trevor Ariza and PLAYER_FIRST PLAYER_LAST added STAT each to help the short handed Rockets cruise to victory."
"('MEM', 'pts', '96')","On Wednesday night, Black got plenty of cheers in helping the Rockets to a 105 96 win over the Grizzlies."
"('Conley,Mike', 'pts', '15')","PLAYER_FIRST PLAYER_LAST had STAT points and six assists for Memphis, but also had five of the team's 20 turnovers."
"('Conley,Mike', 'ast', '6')","PLAYER_FIRST PLAYER_LAST had STAT assists for Memphis, but also had five of the team's 20 turnovers."
"('Conley,Mike', 'fg', '5')","PLAYER_FIRST PLAYER_LAST had six assists for Memphis, but also had STAT of the team's 20 turnovers."
"('Conley,Mike', 'tov', '5')","PLAYER_FIRST PLAYER_LAST had six assists for Memphis, but also had STAT of the team's 20 turnovers."
"('Gasol,Marc', 'pts', '8')",TIP INS Grizzlies: PLAYER_LAST tied a season low with STAT points.
"('HOU', 'fg3', '10')", The Rockets led by 12 at halftime and scored the first _STAT_ of the third quarter to put the game out of reach.
"('Dorsey,Joey', 'pts', '7')",PLAYER_FIRST PLAYER_LAST added STAT points and eight rebounds to help Black inside with Howard out.
"('Dorsey,Joey', 'trb', '8')",PLAYER_FIRST PLAYER_LAST added seven STAT rebounds to help Black inside with Howard out.
"('HOU', 'fg3', '10')",The Rockets were up by eight in the second quarter before a 10 2 spurt made it 55 39.
"('Middleton,Khris', 'pts', '21')",Brandon Knight scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT for the Bucks in their third straight loss.
"('Jefferson,Richard', 'fg3', '1')",PLAYER_FIRST PLAYER_LAST hit STAT of two free throws for a 105 103 lead.
"('Jefferson,Richard', 'fg', '2')",PLAYER_FIRST PLAYER_LAST hit one of STAT free throws for a 105 103 lead.
"('MIL', 'fg', '38')",Ellis followed up that 38 point effort against the Bulls by scoring 23 against Milwaukee.
"('Knight,Brandon', 'pts', '25')",PLAYER_FIRST PLAYER_LAST scored STAT points and Khris Middleton added 21 for the Bucks in their third straight loss.
"('Chandler,Tyson', 'pts', '18')", PLAYER_LAST scored STAT points and added _STAT_ rebounds for the Mavericks.
"('Chandler,Tyson', 'trb', '20')", PLAYER_LAST added STAT rebounds for the Mavericks.
"('DAL', 'pts', '107')","Ellis hit a wild, fall away jumper at the buzzer, lifting the Dallas Mavericks over the Milwaukee Bucks 107 105 on Wednesday night."
"('MIL', 'pts', '105')","Ellis hit a wild, fall away jumper at the buzzer, lifting the Dallas Mavericks over the Milwaukee Bucks 107 105 on Wednesday night."
"('Ellis,Monta', 'fg3', '0')",PLAYER_LAST followed up that 38 point effort against the Bulls by scoring 23 against Milwaukee.
"('Ellis,Monta', 'pts', '23')",PLAYER_LAST followed up that 38 point effort against the Bulls by scoring STAT against Milwaukee.
"('Dieng,Gorgui', 'pts', '15')",PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds for the Timberwolves.
"('Dieng,Gorgui', 'trb', '16')",PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Timberwolves.
"('Williams,Mo', 'fg3', '2')",PLAYER_FIRST PLAYER_LAST capped an 11 STAT spurt with a 3 pointer that gave the Wolves a 75 73 lead with 2:18 to play.
"('Lowry,Kyle', 'fg3', '4')",PLAYER_LAST has scored at least _STAT_ in STAT straight contests and six of Toronto's last eight games.
"('Favors,Derrick', 'ast', '5')",PLAYER_FIRST PLAYER_LAST matched his career high with STAT assists to go with six rebounds.
"('Favors,Derrick', 'pts', '19')",PLAYER_FIRST PLAYER_LAST matched his career high with five assists to go with STAT points and six rebounds.
"('Favors,Derrick', 'trb', '6')",PLAYER_FIRST PLAYER_LAST matched his career high with five assists to go with STAT rebounds.
"('Hayward,Gordon', 'fg3', '2')"," Utah used an 11 STAT run to cut Toronto's lead down to nine early in the third, closing to 71 62 on Hayward's jumper."
"('Kanter,Enes', 'pts', '19')", Derrick Favors and PLAYER_FIRST PLAYER_LAST scored STAT points apiece for Utah.
"('Burke,Trey', 'pts', '15')","Gordon Hayward added _STAT_ points and PLAYER_FIRST PLAYER_LAST had STAT and eight assists for the Jazz, who trailed through the final three quarters."
"('Burke,Trey', 'ast', '8')","Gordon Hayward added PLAYER_FIRST PLAYER_LAST had 15 and STAT assists for the Jazz, who trailed through the final three quarters."
"('Burke,Trey', 'fg3', '3')","Gordon Hayward added PLAYER_FIRST PLAYER_LAST had 15 and eight assists for the Jazz, who trailed through the final STAT quarters."
"('Williams,Lou', 'ft', '6')",PLAYER_LAST made STAT free throws to fuel an 8 0 spurt that gave the Raptors a 92 75 lead with 3:00 left in the quarter.
"('Williams,Lou', 'pts', '17')","Greivis Vasquez and PLAYER_FIRST PLAYER_LAST each had STAT for the Raptors, who had six players score in double figures."
"('UTA', 'fg3', '8')","Gordon Hayward added Trey Burke had 15 and eight assists for the Jazz, who trailed through the final three quarters."
"('UTA', 'fg3', '8')",Utah committed a season low eight turnovers.
"('UTA', 'tov', '8')",Utah committed a season low eight turnovers.
"('Hayward,Gordon', 'pts', '16')","PLAYER_FIRST PLAYER_LAST added STAT points and Trey Burke had 15 and eight assists for the Jazz, who trailed through the final three quarters."
"('Hayward,Gordon', 'ast', '3')","PLAYER_FIRST PLAYER_LAST added Trey Burke had 15 and eight assists for the Jazz, who trailed through the final STAT quarters."
"('Favors,Derrick', 'pts', '19')", PLAYER_FIRST PLAYER_LAST and Enes Kanter scored STAT points apiece for Utah.
"('TOR', 'pts', '123')",DEFENSIVE WOES: Toronto's _STAT_ points were the most an opponent has scored on Utah this season.
"('Vasquez,Greivis', 'pts', '17')",Vasquez's STAT points marked a season high.
"('Vasquez,Greivis', 'pts', '17')","PLAYER_FIRST PLAYER_LAST and Lou Williams each had STAT for the Raptors, who had six players score in double figures."
"('Jordan,DeAndre', 'trb', '16')",PLAYER_FIRST PLAYER_LAST finished with STAT rebounds and blocked three shots.
"('Jordan,DeAndre', 'fg', '3')",PLAYER_FIRST PLAYER_LAST finished with _STAT_ rebounds and blocked STAT shots.
"('Harris,Tobias', 'pts', '16')","PLAYER_FIRST PLAYER_LAST scored STAT for the Magic, who had only four offensive rebounds and no second chance points through the first three quarters."
"('LAC', 'ast', '32')","The Clippers, who finished with a total of 32 assists, are 84 14 when they get 30 or more since Paul joined the club."
"('Redick,J.J.', 'pts', '20')","PLAYER_LAST had STAT points for the two time defending Pacific Division champions, who have won their last four by an average margin of 21.6 points."
"('Redick,J.J.', 'fg3', '4')","PLAYER_LAST had _STAT_ for the two time defending Pacific Division champions, who have won their last STAT by an average margin of 21.6 points."
"('ORL', 'fg3', '7')"," Orlando lost for the sixth time in seven games and committed 17 turnovers, which the Clippers converted into 19 points."
"('Green,Willie', 'pts', '7')","Shooting guard PLAYER_FIRST Green, who spent the previous two seasons with the Clippers, played 13 minutes and had STAT points."
"('LAC', 'tov', '17')"," Orlando lost for the sixth time in seven games and committed 17 turnovers, which the Clippers converted into 19 points."
"('LAC', 'pts', '114')",The four year veteran had _STAT_ points and _STAT_ boards against the Clippers in a 114 90 loss on Nov.
"('CLE', 'pts', '90')","But New York, which spoiled James' first game back in Cleveland with a 95 90 victory on Oct."
"('Irving,Kyrie', 'fg', '12')","James finished with STAT assists, content to be a passer most of the night because of Irving's play."
"('James,LeBron', 'pts', '19')","PLAYER_LAST finished with STAT points and 12 assists, content to be a passer most of the night because of Irving's play."
"('James,LeBron', 'ast', '12')","PLAYER_LAST finished with STAT assists, content to be a passer most of the night because of Irving's play."
"('CLE', 'fg3', '5')", Irving carried the Cavs most of the game before LeBron James had five straight late that helped Cleveland pull it out.
"('Smith,J.R.', 'fg3', '1')",PLAYER_LAST was back after missing the last game and almost all the previous STAT with flu like symptoms.
"('Acy,Quincy', 'pts', '15')","Coach Derek Fisher said Acy, who scored a career high STAT points, had some of the necessary skills to defend Love."
"('Smith,Jason', 'fg', '1')",PLAYER_LAST was back after missing the last game and almost all the previous STAT with flu like symptoms.
"('POR', 'fg', '33')",The Blazers never surrendered the lead and led 38 33 at the break.
"('Lillard,Damian', 'pts', '23')","PLAYER_FIRST PLAYER_LAST led all scorers with STAT points for the Blazers, who have won three straight and 12 of their last 13."
"('Stuckey,Rodney', 'fg3', '0')","The Pacers toyed with their lineup before the game, moving PLAYER_LAST to the point guard position and Donald Sloan to the bench."
"('POR', 'pts', '88')",Aldridge's fourth consecutive double double helped push the Trail Blazers to an 88 82 victory over the Indiana Pacers on Thursday night.
"('Scola,Luis', 'pts', '10')","Portland stretched the lead to as many as STAT points, but PLAYER_FIRST Scola's layup tied the game at 64."
"('Stuckey,Rodney', 'pts', '16')"," PLAYER_FIRST PLAYER_LAST had STAT points for the Pacers, who have lost three straight to open a four game road trip."
"('IND', 'pts', '82')",Aldridge's fourth consecutive double double helped push the Trail Blazers to an 88 82 victory over the Indiana Pacers on Thursday night.
"('Aldridge,LaMarcus', 'pts', '18')","    PLAYER_FIRST PLAYER_LAST missed 14 of his _STAT_ field goal attempts, but still ended up with STAT points and 13 rebounds."
"('Aldridge,LaMarcus', 'trb', '13')","    PLAYER_FIRST PLAYER_LAST missed 14 of his _STAT_ field goal attempts, but still ended up with STAT rebounds."
"('NOP', 'fg3', '3')",The Pelicans shot 41.6 percent from the floor but went only 3 for 15 from 3 point range and were outrebounded 56 47.
"('NOP', 'fg3', '3')",The Pelicans shot 41.6 percent from the floor but went only 3 for 15 from 3 point range and were outrebounded 56 47.
"('NOP', 'tov', '17')",Golden State had _STAT_ steals and forced the Pelicans into 17 turnovers.
"('Iguodala,Andre', 'stl', '2')"," Curry had four steals, and Thompson and PLAYER_FIRST PLAYER_LAST had STAT apiece."
"('Curry,Stephen', 'stl', '4')"," PLAYER_LAST had STAT steals, and Thompson and Andre Iguodala had two apiece."
"('Davis,Anthony', 'pts', '30')",PLAYER_FIRST PLAYER_LAST had his 12th double double for New Orleans with STAT points and 15 rebounds.
"('Davis,Anthony', 'trb', '15')",PLAYER_FIRST PLAYER_LAST had his 12th double double for New Orleans with STAT rebounds.
"('GSW', 'stl', '11')",Golden State had _STAT_ steals and forced the Pelicans into 17 turnovers.
"('Iguodala,Andre', 'fg', '3')",Warriors: Center Andrew Bogut has 14 blocked shots in his past STAT games.
"('Green,Draymond', 'pts', '14')",Green's STAT rebounds matched his career high.
"('Green,Draymond', 'trb', '14')",Green's STAT rebounds matched his career high.
"('Thompson,Klay', 'stl', '2')"," Curry had four steals, and PLAYER_LAST and Andre Iguodala had STAT apiece."
"('Jefferson,Al', 'pts', '16')"," Gerald Henderson scored a season high 22 points, and PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds for the Hornets."
"('Jefferson,Al', 'trb', '13')", Gerald Henderson scored a season high 22 and PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Hornets.
"('Henderson,Gerald', 'pts', '22')"," PLAYER_FIRST PLAYER_LAST scored a season high STAT points, and Al Jefferson had _STAT_ points and _STAT_ rebounds for the Hornets."
"('Smith,J.R.', 'pts', '14')",PLAYER_LAST had STAT points for the struggling Knicks (4 17).
"('OKC', 'pts', '103')",Russell Westbrook had _STAT_ points to lead the Thunder to a 103 91 victory over Philadelphia on Friday night.
"('Westbrook,Russell', 'fg', '8')"," Westbrook, playing in his third game after returning from a broken hand, made STAT of 14 shots."
"('Ibaka,Serge', 'pts', '19')"," PLAYER_FIRST PLAYER_LAST scored STAT points and Jeremy Lamb added 15 for the Thunder, who won their 11th straight against Philadelphia."
"('PHI', 'pts', '91')",Russell Westbrook had _STAT_ points to lead the Thunder to a 103 91 victory over Philadelphia on Friday night.
"('Lamb,Jeremy', 'pts', '15')"," Serge Ibaka scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT for the Thunder, who won their 11th straight against Philadelphia."
