event,sentence
"('Tolliver,Anthony', 'pts', '3')","It was 82 75 after three quarters, then the Pistons scored eight straight points to start the fourth, including 3 pointers by Reggie Bullock and Anthony Tolliver."
"('Tolliver,Anthony', 'pts', '3')","It was 82 75 after three quarters, then the Pistons scored eight straight points to start the fourth, including 3 pointers by Reggie Bullock and Anthony Tolliver."
"('Oladipo,Victor', 'pts', '21')"," Victor Oladipo led the Pacers with 21 points, but Indiana has allowed at least 100 points in 10 of 12 games this season."
"('IND', 'fg3', '7')",Indiana shot 43 percent from the field and was 7 of 24 from 3 point range.
"('Drummond,Andre', 'pts', '14')","Tobias Harris scored 23 points and Andre Drummond added 14 points and 21 rebounds for the first place Pistons, who lead Cleveland by three games in the Central Division."
"('Drummond,Andre', 'trb', '21')","Tobias Harris scored 23 points and Andre Drummond added 14 points and 21 rebounds for the first place Pistons, who lead Cleveland by three games in the Central Division."
"('Fournier,Evan', 'stl', '5')",Magic: Fournier had five steals in the first half and was a major reason the Magic outscored the Knicks on fast break points 14 0 during the first two quarters.
"('Fournier,Evan', 'ft', '2')",Magic: Fournier had five steals in the first half and was a major reason the Magic outscored the Knicks on fast break points 14 0 during the first two quarters.
"('Payton,Elfrid', 'fg3', '0')","Simmons, who had played backup point in Payton's absence, scored 15 of his 16 points in the second half in his more natural wing role."
"('Jack,Jarrett', 'fg', '3')",Point guard Jarrett Jack converted 3 of 4 field goals in the first half and had four assists but he also had four turnovers.
"('ORL', 'stl', '16')",New York (6 5) committed 23 turnovers with Orlando jumping the passing lanes for 16 steals.
"('NYK', 'tov', '23')",New York (6 5) committed 23 turnovers with Orlando jumping the passing lanes for 16 steals.
"('Gordon,Aaron', 'pts', '21')",Nikola Vucevic led five Magic players in double figures with 24 points while Evan Fournier added 23 and Gordon finished with 21 points.
"('NYK', 'pts', '99')",The Magic found their rhythm and winning touch with Payton back in the lineup in a 112 99 victory over the short handed Knicks.
"('Fournier,Evan', 'pts', '23')",Nikola Vucevic led five Magic players in double figures with 24 points while Evan Fournier added 23 and Gordon finished with 21 points.
"('Beasley,Michael', 'pts', '4')",Beasley scored four points.
"('Simmons,Jonathon', 'pts', '16')","Simmons, who had played backup point in Payton's absence, scored 15 of his 16 points in the second half in his more natural wing role."
"('Payton,Elfrid', 'pts', '11')",Payton had 11 points and 11 assists in 29 minutes.
"('Payton,Elfrid', 'ast', '11')",Payton had 11 points and 11 assists in 29 minutes.
"('Payton,Elfrid', 'pts', '11')",Payton had 11 points and 11 assists in 29 minutes.
"('Payton,Elfrid', 'ast', '11')",Payton had 11 points and 11 assists in 29 minutes.
"('Vucevic,Nikola', 'pts', '24')",Nikola Vucevic led five Magic players in double figures with 24 points while Evan Fournier added 23 and Gordon finished with 21 points.
"('ORL', 'pts', '112')",The Magic found their rhythm and winning touch with Payton back in the lineup in a 112 99 victory over the short handed Knicks.
"('NYK', 'fg3', '5')",Magic: Fournier had five steals in the first half and was a major reason the Magic outscored the Knicks on fast break points 14 0 during the first two quarters.
"('BOS', 'ft', '24')",Celtics: Shot just 8 of 24 in the fourth quarter.
"('LAL', 'fg3', '5')","Los Angeles then struggled down the stretch, shooting 5 of 18 from the field with six turnovers in the final period."
"('LAL', 'pts', '96')","Aron Baynes matched his career high with 21 points, Kyrie Irving scored 19 and Boston overcame injuries to Al Horford and Jayson Tatum to beat the Los Angeles Lakers 107 96 on Wednesday night for their 10th straight win."
"('Irving,Kyrie', 'pts', '19')","Aron Baynes matched his career high with 21 points, Kyrie Irving scored 19 and Boston overcame injuries to Al Horford and Jayson Tatum to beat the Los Angeles Lakers 107 96 on Wednesday night for their 10th straight win."
"('Baynes,Aron', 'pts', '21')","Aron Baynes matched his career high with 21 points, Kyrie Irving scored 19 and Boston overcame injuries to Al Horford and Jayson Tatum to beat the Los Angeles Lakers 107 96 on Wednesday night for their 10th straight win."
"('Clarkson,Jordan', 'pts', '18')",Brandon Ingram and Jordan Clarkson led the Lakers with 18 points apiece.
"('BOS', 'ft', '24')",The Celtics led by 48 28 in the second quarter but were outscored 24 13 over the final 6:51 of the half to let the Lakers back into the game.
"('Randle,Julius', 'pts', '16')",Julius Randle had 16 points and 12 rebounds.
"('Randle,Julius', 'trb', '12')",Julius Randle had 16 points and 12 rebounds.
"('BOS', 'pts', '107')","Aron Baynes matched his career high with 21 points, Kyrie Irving scored 19 and Boston overcame injuries to Al Horford and Jayson Tatum to beat the Los Angeles Lakers 107 96 on Wednesday night for their 10th straight win."
"('Ingram,Brandon', 'pts', '18')",Brandon Ingram and Jordan Clarkson led the Lakers with 18 points apiece.
"('MIA', 'pts', '126')",The former Phoenix Suns guard scored a season high 29 points in the Miami Heat's 126 115 victory over the Suns on Wednesday night.
"('Winslow,Justise', 'pts', '14')", TIP INS Heat: Justise Winslow started at power forward for the first time this season and had a season high 14 points and six rebounds.
"('Winslow,Justise', 'trb', '6')", TIP INS Heat: Justise Winslow started at power forward for the first time this season and had a season high 14 points and six rebounds.
"('Waiters,Dion', 'pts', '16')",Waiters was away from the Heat for the birth of his daughter and returned to score 16 points.
"('Whiteside,Hassan', 'pts', '23')","Hassan Whiteside added 23 points, 10 rebounds and a career high four blocked shots for Miami."
"('Whiteside,Hassan', 'trb', '10')","Hassan Whiteside added 23 points, 10 rebounds and a career high four blocked shots for Miami."
"('Dragic,Goran', 'ft', '10')", Dragic scored 10 points in the third quarter.
"('Booker,Devin', 'pts', '30')","Booker led Phoenix with 30 points, and Mike James had 18."
"('MIA', 'fg3', '12')","The Heat made 12 3 pointers, shot a season best 53.1 percent overall and never trailed."
"('PHO', 'pts', '115')",The former Phoenix Suns guard scored a season high 29 points in the Miami Heat's 126 115 victory over the Suns on Wednesday night.
"('Bjelica,Nemanja', 'pts', '3')",TIP INS Timberwolves: Minnesota missed all eight of its 3 pointers in the opening period and its first 11 overall before Nemanja Bjelica hit the Timberwolves' first make from deep at the 7:24 mark of the second quarter.
"('Iguodala,Andre', 'pts', '11')","Andre Iguodala started in place of Durant, and the 2015 Finals MVP scored a season high 11 points."
"('GSW', 'orb', '3')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('GSW', 'pts', '125')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Towns,Karl-Anthony', 'pts', '16')", Andrew Wiggins scored 17 points and Karl Anthony Towns had 16 points and 12 rebounds as the Timberwolves had their five game winning streak snapped.
"('Towns,Karl-Anthony', 'trb', '12')", Andrew Wiggins scored 17 points and Karl Anthony Towns had 16 points and 12 rebounds as the Timberwolves had their five game winning streak snapped.
"('Towns,Karl-Anthony', 'fg', '5')", Andrew Wiggins scored 17 points and Karl Anthony Towns had 16 points and 12 rebounds as the Timberwolves had their five game winning streak snapped.
"('Towns,Karl-Anthony', 'ft', '5')", Andrew Wiggins scored 17 points and Karl Anthony Towns had 16 points and 12 rebounds as the Timberwolves had their five game winning streak snapped.
"('Thompson,Klay', 'pts', '28')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Thompson,Klay', 'fg3', '6')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Thompson,Klay', 'ast', '3')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('GSW', 'ast', '37')",Golden State had 37 assists.
"('Thompson,Klay', 'fg', '11')", Thompson shot 11 for 20 overall and 6 of 12 from long range.
"('Thompson,Klay', 'fg3', '6')", Thompson shot 11 for 20 overall and 6 of 12 from long range.
"('Curry,Stephen', 'ft', '6')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Curry,Stephen', 'pts', '22')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Curry,Stephen', 'trb', '8')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Curry,Stephen', 'ast', '8')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Curry,Stephen', 'trb', '8')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Curry,Stephen', 'ast', '8')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Wiggins,Andrew', 'pts', '17')", Andrew Wiggins scored 17 points and Karl Anthony Towns had 16 points and 12 rebounds as the Timberwolves had their five game winning streak snapped.
"('Casspi,Omri', 'pts', '13')","Omri Casspi added 13 points, three blocks and two steals."
"('MIN', 'pts', '101')","Klay Thompson scored 28 points with six 3 pointers, Stephen Curry had 22 points, eight assists and eight rebounds, and the Warriors beat the Timberwolves 125 101 for their fifth straight win."
"('Young,Nick', 'pts', '12')","Six different bench players scored at least six points, Nick Young with 12 and David West 10."
"('MIN', 'fg3', '5')", Andrew Wiggins scored 17 points and Karl Anthony Towns had 16 points and 12 rebounds as the Timberwolves had their five game winning streak snapped.
"('Lopez,Brook', 'ft', '7')"," TIP INS Lakers: Seven players scored at least 10 points apiece, including Brandon Ingram, Kyle Kuzma, Kentavious Caldwell Pope, Jordan Clarkson, Julius Randle and Brook Lopez."
"('Beal,Bradley', 'pts', '22')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('Ingram,Brandon', 'pts', '10')"," TIP INS Lakers: Seven players scored at least 10 points apiece, including Brandon Ingram, Kyle Kuzma, Kentavious Caldwell Pope, Jordan Clarkson, Julius Randle and Brook Lopez."
"('Morris,Markieff', 'pts', '16')","finished with 20 points and 11 rebounds, while Markieff Morris scored 16 points, including a pair of 3s to open the third quarter."
"('Ball,Lonzo', 'fg', '3')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('Ball,Lonzo', 'ft', '3')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('WAS', 'pts', '111')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('LAL', 'fg3', '3')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('LAL', 'pts', '95')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('Ball,Lonzo', 'pts', '10')"," Ball, who had 10 points, eight rebounds and eight assists, finished the night shooting 29.2 percent so far in the pros."
"('Wall,John', 'fg3', '0')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('Wall,John', 'pts', '23')","John Wall and the Wizards managed to make a double digit edge hold up against the Lakers this time, with the All Star point guard scoring 23 points and Bradley Beal adding 22 while Washington held Ball to 3 for 12 on field goal tries in a 111 95 victory over L.A."
"('Lowry,Kyle', 'trb', '6')", Lowry scored six of his 18 points in the fourth quarter and Jonas Valanciunas grabbed a game high 13 rebounds as the Raptors won for the 13th time in 16 meetings with New Orleans.
"('Lowry,Kyle', 'pts', '18')", Lowry scored six of his 18 points in the fourth quarter and Jonas Valanciunas grabbed a game high 13 rebounds as the Raptors won for the 13th time in 16 meetings with New Orleans.
"('Valanciunas,Jonas', 'trb', '13')", Lowry scored six of his 18 points in the fourth quarter and Jonas Valanciunas grabbed a game high 13 rebounds as the Raptors won for the 13th time in 16 meetings with New Orleans.
"('NOP', 'pts', '118')","DeRozan scored 33 points, Serge Ibaka had 19 and the Raptors beat New Orleans 122 118 on Thursday for their fifth straight win over the Pelicans."
"('Cousins,DeMarcus', 'pts', '20')","Jrue Holiday had a season high 34 points and 11 assists, and DeMarcus Cousins added 20 points and 15 rebounds for the Pelicans in the finale of a four game road trip."
"('Cousins,DeMarcus', 'trb', '15')","Jrue Holiday had a season high 34 points and 11 assists, and DeMarcus Cousins added 20 points and 15 rebounds for the Pelicans in the finale of a four game road trip."
"('TOR', 'fg3', '16')", Lowry scored six of his 18 points in the fourth quarter and Jonas Valanciunas grabbed a game high 13 rebounds as the Raptors won for the 13th time in 16 meetings with New Orleans.
"('TOR', 'ft', '16')", Lowry scored six of his 18 points in the fourth quarter and Jonas Valanciunas grabbed a game high 13 rebounds as the Raptors won for the 13th time in 16 meetings with New Orleans.
"('NOP', 'fg', '44')",The Pelicans finished 44 for 82 (53.7 percent).
"('TOR', 'orb', '10')",Toronto had 10 offensive rebounds and 19 second chance points.
"('TOR', 'pts', '122')","DeRozan scored 33 points, Serge Ibaka had 19 and the Raptors beat New Orleans 122 118 on Thursday for their fifth straight win over the Pelicans."
"('Cunningham,Dante', 'pts', '11')","Anthony Davis scored 18 points, E'Twaun Moore had 13 and Dante Cunningham 11 for the Pelicans."
"('Davis,Anthony', 'pts', '18')","Anthony Davis scored 18 points, E'Twaun Moore had 13 and Dante Cunningham 11 for the Pelicans."
"('Ibaka,Serge', 'pts', '19')","DeRozan scored 33 points, Serge Ibaka had 19 and the Raptors beat New Orleans 122 118 on Thursday for their fifth straight win over the Pelicans."
"('NOP', 'fg3', '13')", Lowry scored six of his 18 points in the fourth quarter and Jonas Valanciunas grabbed a game high 13 rebounds as the Raptors won for the 13th time in 16 meetings with New Orleans.
"('TOR', 'fg3', '16')"," Toronto made a season high 16 3 pointers, four by Lowry."
"('TOR', 'ft', '16')"," Toronto made a season high 16 3 pointers, four by Lowry."
"('NOP', 'fg3', '13')","Anthony Davis scored 18 points, E'Twaun Moore had 13 and Dante Cunningham 11 for the Pelicans."
"('NOP', 'orb', '4')","Jrue Holiday had a season high 34 points and 11 assists, and DeMarcus Cousins added 20 points and 15 rebounds for the Pelicans in the finale of a four game road trip."
"('Holiday,Jrue', 'pts', '34')","Jrue Holiday had a season high 34 points and 11 assists, and DeMarcus Cousins added 20 points and 15 rebounds for the Pelicans in the finale of a four game road trip."
"('Holiday,Jrue', 'ast', '11')","Jrue Holiday had a season high 34 points and 11 assists, and DeMarcus Cousins added 20 points and 15 rebounds for the Pelicans in the finale of a four game road trip."
"('Holiday,Jrue', 'ft', '4')","Jrue Holiday had a season high 34 points and 11 assists, and DeMarcus Cousins added 20 points and 15 rebounds for the Pelicans in the finale of a four game road trip."
"('Love,Kevin', 'pts', '17')",Love had 17 points before fouling out in the fourth quarter.
"('CLE', 'ft', '11')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('CLE', 'pts', '113')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('Green,Jeff', 'ft', '3')","The Cavaliers scored five quick points, capped by a 3 pointer by Green, to tie it at 87 87 about three minutes later."
"('Green,Jeff', 'ft', '3')","The Cavaliers scored five quick points, capped by a 3 pointer by Green, to tie it at 87 87 about three minutes later."
"('James,LeBron', 'pts', '33')","LeBron James had 33 points for the Cavaliers, and Jeff Green added 27."
"('Gordon,Eric', 'pts', '20')",Gordon added 20 points.
"('James,LeBron', 'fg3', '1')","The Cavaliers used a 13 1 run, with five points from James, to cut the lead to 112 111 with 90 seconds left."
"('Ariza,Trevor', 'fg3', '3')", The Rockets made the first seven points of the second half thanks to a three pointer by Eric Gordon and a four point play by Trevor Ariza to take a 72 67 lead.
"('Ariza,Trevor', 'ft', '4')", The Rockets made the first seven points of the second half thanks to a three pointer by Eric Gordon and a four point play by Trevor Ariza to take a 72 67 lead.
"('Harden,James', 'pts', '35')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('Harden,James', 'trb', '11')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('Harden,James', 'ft', '13')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('Harden,James', 'ast', '13')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('Shumpert,Iman', 'fg3', '1')",Cleveland got going soon after that and a layup by Iman Shumpert got the Cavaliers within 1 point soon after that.
"('Gordon,Eric', 'fg', '7')", The Rockets made the first seven points of the second half thanks to a three pointer by Eric Gordon and a four point play by Trevor Ariza to take a 72 67 lead.
"('Gordon,Eric', 'fg3', '4')", The Rockets made the first seven points of the second half thanks to a three pointer by Eric Gordon and a four point play by Trevor Ariza to take a 72 67 lead.
"('Capela,Clint', 'pts', '19')","Capela, who finished with 19 points, 13 rebounds and four blocks, blocked a shot by James in the final seconds to secure the win."
"('Capela,Clint', 'trb', '13')","Capela, who finished with 19 points, 13 rebounds and four blocks, blocked a shot by James in the final seconds to secure the win."
"('Harden,James', 'ft', '13')","The Cavaliers used a 13 1 run, with five points from James, to cut the lead to 112 111 with 90 seconds left."
"('Harden,James', 'ft', '13')","Capela, who finished with 19 points, 13 rebounds and four blocks, blocked a shot by James in the final seconds to secure the win."
"('Harden,James', 'fg', '8')",But Harden made two 3 pointers to power an 8 2 run that extended Houston's lead to 81 74 lead with about 7 1/2 minutes left in the quarter.
"('Harden,James', 'ft', '13')",Harden made 13 of 14 free throws.
"('HOU', 'pts', '117')"," Harden had a triple double of 35 points, 11 rebounds and 13 assists to help the Rockets beat the Cleveland Cavaliers 117 113 on Thursday night."
"('Saric,Dario', 'fg3', '3')",Dario Saric followed with a 3 and Covington's sixth shot from beyond the arc followed by a three point play extended Philadelphia's lead to 108 102 before the Kings made their decisive push.
"('SAC', 'pts', '109')"," seconds remaining to lift the Kings over Philadelphia 109 108 on Thursday night, ending a five game winning streak for the 76ers that marked their longest in six years."
"('PHI', 'pts', '108')"," seconds remaining to lift the Kings over Philadelphia 109 108 on Thursday night, ending a five game winning streak for the 76ers that marked their longest in six years."
"('SAC', 'ft', '17')"," Two nights after rallying from 17 points down to upset Oklahoma City and snap a seven game skid, Sacramento (3 8) pulled off another stunner by closing with a 7 0 run."
"('Simmons,Ben', 'pts', '18')",Ben Simmons added 18 points and six assists.
"('Simmons,Ben', 'fg', '6')",Ben Simmons added 18 points and six assists.
"('Simmons,Ben', 'ft', '6')",Ben Simmons added 18 points and six assists.
"('Simmons,Ben', 'ast', '6')",Ben Simmons added 18 points and six assists.
"('Embiid,Joel', 'pts', '22')",Embiid had 22 points and 15 rebounds on an uneven night.
"('Embiid,Joel', 'trb', '15')",Embiid had 22 points and 15 rebounds on an uneven night.
"('Jackson,Justin', 'fg', '7')","Justin Jackson scored 19, including 11 in the fourth quarter, and Fox finished with 11 points and seven assists."
"('Randolph,Zach', 'pts', '20')", Zach Randolph had 20 points and seven rebounds for the Kings.
"('Randolph,Zach', 'fg', '7')", Zach Randolph had 20 points and seven rebounds for the Kings.
"('Randolph,Zach', 'trb', '7')", Zach Randolph had 20 points and seven rebounds for the Kings.
"('Randolph,Zach', 'fg', '7')",He shot 7 of 20 and struggled in the paint against Randolph and Kosta Koufos.
"('Randolph,Zach', 'pts', '20')",He shot 7 of 20 and struggled in the paint against Randolph and Kosta Koufos.
"('PHI', 'pts', '108')",Dario Saric followed with a 3 and Covington's sixth shot from beyond the arc followed by a three point play extended Philadelphia's lead to 108 102 before the Kings made their decisive push.
"('Embiid,Joel', 'fg', '7')",The Kings' 7 footer also defended Embiid when he missed a shot from the free throw line as time expired.
"('Embiid,Joel', 'ft', '7')",The Kings' 7 footer also defended Embiid when he missed a shot from the free throw line as time expired.
"('Simmons,Ben', 'fg', '6')","The 76ers trailed by as many as nine and looked out of rhythm most of the night before Simmons scored six straight points in the fourth quarter, including an emphatic, one handed, driving dunk down the lane."
"('Simmons,Ben', 'ft', '6')","The 76ers trailed by as many as nine and looked out of rhythm most of the night before Simmons scored six straight points in the fourth quarter, including an emphatic, one handed, driving dunk down the lane."
"('Covington,Robert', 'pts', '24')", Robert Covington scored 24 points and sank six 3 pointers for Philadelphia (6 5).
"('Covington,Robert', 'fg3', '6')", Robert Covington scored 24 points and sank six 3 pointers for Philadelphia (6 5).
"('OKC', 'ft', '7')"," Carmelo Anthony, who spent his first 7 1 2 years in the league in Denver before being traded to the New York Knicks in 2011, had 28 points to lead the Thunder, who acquired Anthony in a pre season trade."
"('Anthony,Carmelo', 'ft', '2')"," Carmelo Anthony, who spent his first 7 1 2 years in the league in Denver before being traded to the New York Knicks in 2011, had 28 points to lead the Thunder, who acquired Anthony in a pre season trade."
"('Anthony,Carmelo', 'pts', '28')"," Carmelo Anthony, who spent his first 7 1 2 years in the league in Denver before being traded to the New York Knicks in 2011, had 28 points to lead the Thunder, who acquired Anthony in a pre season trade."
"('OKC', 'pts', '94')","Mudiay scored 10 of his 21 points in the fourth quarter, including the go ahead 3 pointer midway through the period, and the Nuggets beat the Oklahoma City Thunder 102 94 on Thursday night."
"('DEN', 'pts', '102')","Mudiay scored 10 of his 21 points in the fourth quarter, including the go ahead 3 pointer midway through the period, and the Nuggets beat the Oklahoma City Thunder 102 94 on Thursday night."
"('Mudiay,Emmanuel', 'pts', '21')","Mudiay scored 10 of his 21 points in the fourth quarter, including the go ahead 3 pointer midway through the period, and the Nuggets beat the Oklahoma City Thunder 102 94 on Thursday night."
"('DEN', 'ft', '17')", Milsap added 17 points and Jokic had 15 points to go with 11 rebounds for Denver.
"('Jokic,Nikola', 'pts', '15')","And I think Emmanuel was a big part of that attack, him, Paul (Milsap), Gary (Harris), Nikola (Jokic), they were terrific on both ends of the floor."" Milsap added 17 points and Jokic had 15 points to go with 11 rebounds for Denver."
"('Jokic,Nikola', 'trb', '11')","And I think Emmanuel was a big part of that attack, him, Paul (Milsap), Gary (Harris), Nikola (Jokic), they were terrific on both ends of the floor."" Milsap added 17 points and Jokic had 15 points to go with 11 rebounds for Denver."
"('DEN', 'fg3', '9')","The Nuggets snapped a five game losing streak at home to the Thunder, including a 106 105 setback April 9 on a last second 3 pointer by Russell Westbrook that eliminated Denver from playoff contention."
"('George,Paul', 'pts', '13')","Paul George and Westbrook each added 13 points for the Thunder, who lost their fourth in a row."
"('Millsap,Paul', 'pts', '17')","And I think Emmanuel was a big part of that attack, him, Paul (Milsap), Gary (Harris), Nikola (Jokic), they were terrific on both ends of the floor."" Milsap added 17 points and Jokic had 15 points to go with 11 rebounds for Denver."
"('Westbrook,Russell', 'pts', '13')","Paul George and Westbrook each added 13 points for the Thunder, who lost their fourth in a row."
"('Jokic,Nikola', 'pts', '15')", Milsap added 17 points and Jokic had 15 points to go with 11 rebounds for Denver.
"('Jokic,Nikola', 'trb', '11')", Milsap added 17 points and Jokic had 15 points to go with 11 rebounds for Denver.
"('Jackson,Reggie', 'fg3', '3')","It was tight the rest of the way, and Jackson's 3 pointer with 52.5 seconds remaining put the Pistons up 103 100."
"('Jackson,Reggie', 'ft', '3')","It was tight the rest of the way, and Jackson's 3 pointer with 52.5 seconds remaining put the Pistons up 103 100."
"('ATL', 'pts', '104')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Jackson,Reggie', 'pts', '22')",Jackson led the Pistons with 22 points and Avery Bradley scored 20.
"('DET', 'orb', '20')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('DET', 'pts', '111')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Drummond,Andre', 'ft', '4')","Drummond's foul shooting has improved noticeably this season, and he was 4 for 6 against the Hawks."
"('Drummond,Andre', 'fg', '6')","Drummond's foul shooting has improved noticeably this season, and he was 4 for 6 against the Hawks."
"('Jackson,Reggie', 'fg3', '3')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Jackson,Reggie', 'ft', '3')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Jackson,Reggie', 'trb', '3')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Drummond,Andre', 'pts', '16')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Drummond,Andre', 'trb', '20')","Andre Drummond had 16 points, 20 rebounds and a career high seven assists, and Reggie Jackson made a pair of 3 pointers in the final minute to lift the Pistons to a 111 104 victory over the Atlanta Hawks on Friday night."
"('Bazemore,Kent', 'fg3', '3')",Atlanta rallied and finally tied it at 94 when Kent Bazemore made back to back 3 pointers.
"('Bazemore,Kent', 'ft', '3')",Atlanta rallied and finally tied it at 94 when Kent Bazemore made back to back 3 pointers.
"('Bazemore,Kent', 'pts', '22')",Bazemore scored a team high 22 points.
"('Schroder,Dennis', 'pts', '17')"," Dennis Schroder had 17 points and 11 assists for Atlanta (2 10), which has the worst record in the Eastern Conference."
"('Schroder,Dennis', 'ast', '11')"," Dennis Schroder had 17 points and 11 assists for Atlanta (2 10), which has the worst record in the Eastern Conference."
"('CHO', 'pts', '87')","Jayson Tatum had 16 points, Shane Larkin added 16 off the bench and the Celtics overcame an injury to Kyrie Irving and a 12 point, fourth quarter deficit to beat the Charlotte Hornets 90 87 on Friday night."
"('Tatum,Jayson', 'pts', '16')","Jayson Tatum had 16 points, Shane Larkin added 16 off the bench and the Celtics overcame an injury to Kyrie Irving and a 12 point, fourth quarter deficit to beat the Charlotte Hornets 90 87 on Friday night."
"('Tatum,Jayson', 'pts', '16')","Jayson Tatum had 16 points, Shane Larkin added 16 off the bench and the Celtics overcame an injury to Kyrie Irving and a 12 point, fourth quarter deficit to beat the Charlotte Hornets 90 87 on Friday night."
"('Walker,Kemba', 'pts', '20')",Kemba Walker led the Hornets with 20 points and 11 assists.
"('Walker,Kemba', 'ast', '11')",Kemba Walker led the Hornets with 20 points and 11 assists.
